id,source_id,timestamp,date,hour,type,channel,score,risk,risk_label,caller_origin,lang,age,age_group,gender,occupation,fraud_type,summary,indicators,indicator_labels,transcript_text
12,12,2025-03-10T16:22:00,2025-03-10,16,voice,vishing,55,yellow,Neskaidrs,LV (VoIP),lv,35,35–49,male,finance,investment_scam,Investīciju fonda menedžera uzdošanās ar neticami augstu peļņas solīšanu.,[red]Nereālas peļņas solīšana//Garantēts 34% gada ienesīgums ir ekonomiski neiespējams un galvenais sarkanais karogs.|[yellow]Steidzamība un ekskluzivitāte//Ierobežotā laika piedāvājums un ekskluzīvā piekļuve ir manipulatīvas taktikas.|[yellow]VoIP izcelsme//Numurs nav saistīts ar reģistrētu finanšu iestādi.|[yellow]Nav uzņēmuma rekvizītu//Zvanītājs nenorāda uzņēmuma nosaukumu vai licences numuru.,Nereālas peļņas solīšana | Steidzamība un ekskluzivitāte | VoIP izcelsme | Nav uzņēmuma rekvizītu,"S: Labdien, es zvanu no Baltijas Investīciju grupas. Mums ir ekskluzīvs piedāvājums — garantēts 34% gada ienesīgums no mūsu kriptovalūtu portfeļa. || V: Kā tas ir iespējams? Tas izklausās ļoti daudz. || S: Mūsu algoritms izmanto AI, lai maksimizētu peļņu. Šī iespēja ir pieejama tikai šonedēļ. || V: Vai jūs esat licencēti? || S: Protams, mums ir visas nepieciešamās atļaujas. Minimālā investīcija ir €500, un nauda ir jūsu pieejama jebkurā laikā. || V: Man jāpadomā. Vai es varu jums atzvanīt? || S: Šī piedāvājuma slots beigsies šodien vakarā. Lēmums jāpieņem tagad."
13,13,2025-03-09T09:33:00,2025-03-09,09,sms,smishing,42,yellow,Neskaidrs,LV (Mobilais),lv,52,50–64,male,retail,government_impersonation,CSDD transportlīdzekļa nodokļa SMS ar maksājuma pieprasījumu — daļēji ticams.,"[yellow]Valsts dienesta uzdošanās//CSDD šādus paziņojumus sūta pa pastu, nevis SMS ar mobiliem numuriem.|[yellow]Mobilais numurs, ne īssavilkums//Likumīgi valsts paziņojumi parasti izmanto reģistrētus īssavilkumus.|[yellow]Saites domēns//Nav nepārprotami saistīts ar csdd.gov.lv.","Valsts dienesta uzdošanās | Mobilais numurs, ne īssavilkums | Saites domēns","CSDD: Jūsu transportlīdzeklim RE-1234 ir nesamaksāts ikgadējais nodoklis €68. Lūdzu, samaksājiet 14 dienu laikā, lai izvairītos no soda: https://csdd-maks.lv/nodoklis"
14,14,2025-03-10T08:51:00,2025-03-10,08,sms,smishing,79,red,Visticamāk krāpniecība,LV (Mobilais),lv,44,35–49,female,retail,utility_fraud,Latvenergo parāda SMS ar atslēgšanas draudiem un maksājuma saiti.,"[red]Komunālo pakalpojumu uzdošanās//Latvenergo nenosūta atslēgšanas brīdinājumus pa SMS ar mobiliem numuriem.|[red]Atslēgšanas draudi 24 stundās//Mākslīga steidzamība, lai piespiestu tūlītēju rīcību.|[red]Aizdomīgs domēns//Latvenergo oficialais domēns ir latvenergo.lv, nevis minētais domēns.|[yellow]Mobilais numurs, ne uzņēmuma numurs//Likumīgi komunālie uzņēmumi izmanto uzņēmumu fiksētos numurus.","Komunālo pakalpojumu uzdošanās | Atslēgšanas draudi 24 stundās | Aizdomīgs domēns | Mobilais numurs, ne uzņēmuma numurs","LATVENERGO: Jūsu kontā ir €127,40 parāds. Ja maksājums netiks veikts 24h laikā, elektroenerģijas piegāde tiks pārtraukta. Samaksājiet tagad: https://latvenergo-parads[.]com/maks?id=LV8821"
15,15,2025-03-08T11:28:00,2025-03-08,11,sms,smishing,8,green,Visticamāk nav krāpniecība,LV (Īssavilkums),lv,27,25–34,female,student,legitimate,Likumīgs Latvijas Pasts sūtījuma statusa paziņojums no reģistrēta sūtītāja.,[yellow]Burtciparu sūtītāja ID//Sūtītāja ID 'LPASTS' ir reģistrēts pastu dienesta formāts. Konteksts likumīgs.,Burtciparu sūtītāja ID,"Latvijas Pasts: Jūsu sūtījums LV123456789LV tika piegādāts 10:42. Adresāts: Brīvības iela 48, Rīga. Jautājumu gadījumā: pasts.lv vai 8006 0001."
16,16,2025-03-10T10:14:00,2025-03-10,10,sms,smishing,86,red,Visticamāk krāpniecība,LV (VoIP),lv,48,35–49,female,healthcare,phishing_link,Citadele kartes limita palielināšanas phishing SMS ar urgences valodu.,"[red]Bankas uzdošanās no VoIP numura//Citadele nenosūta kartes limita paziņojumus no VoIP numuriem.|[red]Phishing saite//Domēns 'citadele-limit[.]lv' nav saistīts ar bankas oficiālo tīmekļa vietni.|[red]Steidzamība un ekskluzivitāte//Ierobežota laika piedāvājums tiek izmantots, lai novērstu padziļinātu pārbaudi.|[yellow]VoIP numurs ar LV kodu//Numurs nereģistrēts Citadele infrastruktūrā.",Bankas uzdošanās no VoIP numura | Phishing saite | Steidzamība un ekskluzivitāte | VoIP numurs ar LV kodu,Citadele: Ekskluzīvs piedāvājums — palieliniet savu kartes limitu līdz €5000 bez maksas! Apstiprināšana nepieciešama 3h laikā: https://citadele-limit[.]lv/aktiv?k=92jX
17,17,2025-03-09T14:17:00,2025-03-09,14,sms,smishing,38,yellow,Neskaidrs,LV (Īssavilkums),lv,29,25–34,female,student,phishing_link,Rimi lojalitātes programmas balvas SMS ar neskaidru saiti — daļēji ticams.,[yellow]Balvas solīšana//Neplānotas balvas paziņojumi ir izplatīta sociālās inženierijas taktika.|[yellow]Aizdomīgs domēns//Saites domēns nav rimibaltics.com oficialais domēns.|[yellow]Burtciparu sūtītāja ID//'RIMICLUB' var būt reģistrēts vai klonēts īssavilkums.,Balvas solīšana | Aizdomīgs domēns | Burtciparu sūtītāja ID,RIMICLUB: Apsveicam! Jūsu MY RIMI karte ir laimējusi €50 dāvanu karti! Saņemiet balvu šeit: https://rimi-balva[.]eu/iegut?id=7734 — piedāvājums beidzas šodien.
18,18,2025-03-08T13:02:00,2025-03-08,13,sms,smishing,58,yellow,Neskaidrs,LV (Mobilais),lv,24,18–24,male,student,otp_theft,Tele2 numura portēšanas SMS ar OTP pieprasījumu — augsts OTP nozagšanas risks.,"[red]OTP koda pieprasīšana SMS//OTP pieprasījums portēšanas procesā ir galvenā SIM svoping krāpniecības pazīme.|[yellow]Telekomunikāciju uzņēmuma uzdošanās//Tele2 portēšana notiek caur klientu portālu, ne SMS saiti.|[yellow]Mobilais numurs, ne uzņēmuma numurs//Tele2 klientu paziņojumi nāk no reģistrētiem sūtītājiem.","OTP koda pieprasīšana SMS | Telekomunikāciju uzņēmuma uzdošanās | Mobilais numurs, ne uzņēmuma numurs","Tele2: Jūsu numura portēšanas pieteikums apstiprināts. Lai pabeigtu procesu, ievadiet verifikācijas kodu: https://tele2-port.lv/verify?code=XXXXXX — kods derīgs 10 min."
19,19,2025-03-10T11:47:00,2025-03-10,11,sms,smishing,79,red,Visticamāk krāpniecība,LV (Mobilais),lv,39,35–49,male,legal,utility_fraud,Latvijas Gāze avārijas SMS ar gāzes noplūdi un apmeklējuma maksas pieprasījumu.,"[red]Komunālo pakalpojumu avārijas uzdošanās//Latvijas Gāze nekad nepieprasa avārijas apmeklējuma maksu SMS.|[red]Neloģisks avārijas maksājums//Īstā gāzes noplūdes gadījumā evakuējas, nevis maksā pa tālruni.|[red]Draudu valoda un steidzamība//Kombinācija 'gāzes noplūde' + 'maksājums tagad' ir tipisks manipulatīvs skripts.|[yellow]Mobilais numurs avārijas paziņojumam//Avārijas dienesti izmanto īssavilkumus vai fiksētos numurus.",Komunālo pakalpojumu avārijas uzdošanās | Neloģisks avārijas maksājums | Draudu valoda un steidzamība | Mobilais numurs avārijas paziņojumam,"Latvijas Gāze AVĀRIJA: Jūsu apgabalā konstatēta iespējamā gāzes noplūde. Tehniķa vizīte obligāta. Lai apstiprinātu vizīti un apmaksātu drošības pārbaudi €25, sekojiet: https://gas-lv[.]online/avaria?addr=LV"
20,20,2025-03-09T10:58:00,2025-03-09,10,voice,vishing,16,green,Visticamāk nav krāpniecība,LV (Fiksētais),lv,51,50–64,male,finance,legitimate,Likumīgs SEB bankas zvans par kartes nomaiņas procedūru klientam iniciatīvas ietvaros.,[yellow]Identitātes verifikācija//Personas koda daļas pieprasīšana ir standarta procedūra. Nav papildu kartes datu pieprasīšanas.|[yellow]Fiksētais numurs//Zvans no SEB reģistrētā tīkla numura.,Identitātes verifikācija | Fiksētais numurs,"S: Labdien, šis ir Toms no SEB bankas. Es zvanu sakarā ar Jūsu kartes nomaiņas pieteikumu. Vai Jums tagad ir ērti? || V: Jā, es to tiešām pieprasīju. || S: Lieliski. Lai verificētu identitāti, lūdzu, nosauciet pēdējos trīs Jūsu personas koda ciparus. || V: Tie ir 4-8-1. || S: Paldies. Jaunā karte tiks nosūtīta uz Jūsu reģistrēto adresi 5 darba dienu laikā. Vai ir vēl kādi jautājumi? || V: Nē, paldies. || S: Labu dienu."
21,21,2025-03-10T17:33:00,2025-03-10,17,voice,vishing,68,yellow,Neskaidrs,LV (VoIP),en,41,35–49,male,IT,investment_scam,Angliski runājošs investīciju krāpnieks ar kriptovalūtu platformas piedāvājumu.,[red]Nereāla peļņa garantēta//Nekāda likumīga platforma negarantē 25%+ mēnesī no kriptovalūtām.|[yellow]Angļu valodā Latvijā//Angliski runājošs zvanītājs Latvijā ar investīciju piedāvājumu ir augsts risks.|[yellow]VoIP izcelsme//Nav saistīts ar reģistrētu finanšu iestādi.|[yellow]Steidzamība un pieejas ierobežojums//Ierobežotas vietas un laika spiediena taktika.,Nereāla peļņa garantēta | Angļu valodā Latvijā | VoIP izcelsme | Steidzamība un pieejas ierobežojums,"S: Hello, I'm calling from CryptoVault Baltic. We have an exclusive AI-driven crypto portfolio showing 25% monthly returns. || V: That sounds very high. Is this regulated? || S: We operate under EU financial regulations. This opportunity is only open for 48 hours. Minimum investment is just €1000. || V: Can I have your company registration number? || S: I'll email that to you. But first, let me explain the strategy — we use proprietary algorithms that have beaten the market for 3 consecutive years. || V: I'd like to research this first before committing any money. || S: I understand, but the slots for this round close tonight. Can I put you down for €1000 now?"
22,22,2025-03-10T09:22:00,2025-03-10,09,voice,vishing,90,red,Visticamāk krāpniecība,LV (VoIP),lv,36,35–49,female,unemployed,government_impersonation,Muitas dienesta uzdošanās par aizturētu pakotni ar tūlītēja naudas nodokļa pieprasīšanu.,[red]Muitas dienesta uzdošanās//Latvijas Muita nezvana privātpersonām ar tūlītēju nodevas pieprasījumu pa tālruni.|[red]Naudas pārskaitīšana zvana laikā//Pieprasījums nekavējoties pārskaitīt naudu ir augsta riska indikators.|[red]Steidzamība un soda draudi//Soda drauds kā instruments tūlītējas rīcības provocēšanai.|[yellow]VoIP numurs ar Rīgas prefiksu//Zvans nāk no nereģistrētas VoIP infrastruktūras.,Muitas dienesta uzdošanās | Naudas pārskaitīšana zvana laikā | Steidzamība un soda draudi | VoIP numurs ar Rīgas prefiksu,"S: Labdien, šis ir Andris Kalniņš no Latvijas Muitas dienesta. Mūsu sistēmā ir aizturēta Jūsu sūtījums ar aizdomīgu saturu. || V: Kāds sūtījums? Es neesmu gaidījusi neko. || S: Sūtījums Jūsu vārdā no Ķīnas. Mums ir jāveic pārbaude, un par to ir jāsamaksā pārbaudes nodeva €85. || V: Kāpēc man jāmaksā, ja es neko neesmu pasūtījusi? || S: Ja nodeva netiks samaksāta 2 stundu laikā, sūtījums tiks iznīcināts un Jums tiks izrakstīts sods €500 apmērā. || V: Tas izklausās dīvaini. Es labāk piezvanīšu muitai tieši. || S: Jūs nevarat atzvanīt uz šo lietu — šī ir vienīgā kontaktu līnija. Maksājiet tagad un sūtījums tiks atbrīvots."
23,23,2025-03-08T16:45:00,2025-03-08,16,sms,smishing,6,green,Visticamāk nav krāpniecība,LV (Īssavilkums),lv,63,50–64,female,pensioner,legitimate,Likumīgs aptieku tīkla recepšu atgādinājums no reģistrēta īssavilkuma.,[yellow]Burtciparu sūtītāja ID//Sūtītāja ID ir reģistrēts aptiekas tīkla formāts. Konteksts likumīgs. Nav saites vai maksājumu.,Burtciparu sūtītāja ID,Dr.Aukstiņš aptiekas atgādinājums: Jūsu recepte Nr. 2847-LV ir gatava saņemšanai Brīvības ielā 89. Derīguma termiņš: 20.03.2025. Informācija: 67 320 001.
24,24,2025-03-09T11:14:00,2025-03-09,11,voice,vishing,19,green,Visticamāk nav krāpniecība,LV (Fiksētais),lv,28,25–34,male,IT,legitimate,Likumīgs personāla nodaļas zvans par darba līguma pagarināšanas procedūru.,[yellow]Personas datu apstiprinājums//Darba devēja identitātes pārbaude ar nodarbinātības datiem ir standarta procedūra. Konteksts atbalsta likumību.,Personas datu apstiprinājums,"S: Labdien, šis ir Jānis no personāla nodaļas. Es zvanu sakarā ar Jūsu līguma pagarināšanu — ID: EMP-2024-0847. || V: Jā, es gaidīju šo zvanu. || S: Lieliski. Mums jāapstiprina Jūsu dati sistēmā. Vai varat apstiprināt savu darba sākuma datumu un nodaļu? || V: 15. janvāris 2023, programmatūras izstrādes nodaļa. || S: Perfekti, tas sakrīt. Pagarinājuma dokumenti tiks nosūtīti uz Jūsu korporatīvo e-pastu šodien. || V: Labi, paldies. || S: Labu dienu!"
25,25,2025-03-08T09:39:00,2025-03-08,09,voice,vishing,23,green,Visticamāk nav krāpniecība,LV (Fiksētais),lv,55,50–64,female,legal,legitimate,Likumīgs Citadele bankas hipotēkas procentu pārskatīšanas zvans klientam iniciatīvas ietvaros.,[yellow]Identitātes verifikācija//Personas koda daļas pieprasīšana hipotēkas lietu kontekstā ir standarta procedūra.|[yellow]Fiksētais bankas numurs//Zvans no Citadele reģistrēta numura. Nav VoIP vai mobilā numura.,Identitātes verifikācija | Fiksētais bankas numurs,"S: Labdien, šī ir Līga no Citadele bankas hipotēkas centra. Es zvanu sakarā ar procentu likmju pārskatīšanu Jūsu hipotēkai — atsauce H-48821. || V: Jā, es saņēmu vēstuli par šo. || S: Lai sāktu pārskatīšanu, man jāapstiprina Jūsu identitāte. Lūdzu, nosauciet pēdējos četrus personas koda ciparus. || V: Tie ir 3-3-9-2. || S: Paldies. Balstoties uz tirgus analīzi, mēs varam piedāvāt jaunu likmi 3,2% vietā esošās 3,8%. || V: Tas izklausās labi. Ko man jādara? || S: Mēs nosūtīsim piedāvājumu pa pastu. Tas nav saistošs, un Jums ir 30 dienas, lai pieņemtu lēmumu."
